composite,scientific_name,ebird_code,common_name,alpha
Actinodura nipalensis_Hoary-throated Barwing,Actinodura nipalensis,hotbar1,Hoary-throated Barwing,
Actinodura ramsayi_Spectacled Barwing,Actinodura ramsayi,spebar1,Spectacled Barwing,
Actinodura strigula_Chestnut-tailed Minla,Actinodura strigula,chtmin1,Bar-throated Minla,
Actinodura waldeni_Streak-throated Barwing,Actinodura waldeni,sttbar1,Streak-throated Barwing,
Actitis hypoleucos_Common Sandpiper,Actitis hypoleucos,comsan,Common Sandpiper,COSA
Actitis macularius_Spotted Sandpiper,Actitis macularius,sposan,Spotted Sandpiper,SPSA
Actophilornis africanus_African Jacana,Actophilornis africanus,afrjac1,African Jacana,
Adelomyia melanogenys_Speckled Hummingbird,Adelomyia melanogenys,spehum1,Speckled Hummingbird,
Aechmophorus clarkii_Clark's Grebe,Aechmophorus clarkii,clagre,Clark's Grebe,CLGR
Aechmophorus occidentalis_Western Grebe,Aechmophorus occidentalis,wesgre,Western Grebe,WEGR
Aegithalos caudatus_Long-tailed Tit,Aegithalos caudatus,lottit1,Long-tailed Tit,
